school,school_id,district,district_id,percent_not_proficient_math,percent_chronically_absent
Kinnaman Elementary School,1166,Beaverton SD 48J,2243,0.5329999999999999,0.086
Lacomb School,671,Lebanon Community SD 9,2101,0.7219999999999999,0.055999999999999994
Ladd Acres Elementary School,1150,Hillsboro SD 1J,2239,0.304,0.07400000000000001
Lafayette Elementary School,640,Greater Albany Public SD 8J,2100,0.6859999999999999,0.2
Lake Grove Elementary School,55,Lake Oswego SD 7J,1923,0.163,0.052000000000000005
Lamb Elementary School,3375,Salem-Keizer SD 24J,2142,0.759,0.099
LaPine Elementary School,245,Bend-LaPine Administrative SD 1,1976,0.631,0.24100000000000002
Latham Elementary School,577,South Lane SD 45J3,2087,0.5,0.071
Laurel Elementary School,595,Junction City SD 69,2091,0.636,0.106
Laurelhurst Elementary School,868,Portland SD 1J,2180,0.32,0.054000000000000006
Lava Ridge Elementary School,1317,Bend-LaPine Administrative SD 1,1976,0.252,0.07200000000000001
Le Monde French Immersion Public Charter School,5060,Portland SD 1J,2180,0.158,0.19
Lee Elementary School,869,Portland SD 1J,2180,0.778,0.068
Lee Elementary School,3526,Salem-Keizer SD 24J,2142,0.45,0.18600000000000003
Lenox Elementary School,1110,Hillsboro SD 1J,2239,0.43699999999999994,0.113
Lent Elementary School,870,Portland SD 1J,2180,0.8880000000000001,0.11699999999999999
Lewelling Elementary School,4764,North Clackamas SD 12,1924,0.7120000000000001,0.226
Lewis & Clark Elementary School,147,Astoria SD 1,1933,0.5579999999999999,0.105
Lewis & Clark Elementary School,3569,St Helens SD 502,1948,0.742,0.159
Lewis Elementary School,871,Portland SD 1J,2180,0.45399999999999996,0.141
Liberty Elementary School,641,Greater Albany Public SD 8J,2100,0.36,0.115
Liberty Elementary School,749,Salem-Keizer SD 24J,2142,0.672,0.16899999999999998
Lighthouse Charter School,3615,Coos Bay SD 9,1965,0.52,0.16699999999999998
Lincoln Elementary School,36,Corvallis SD 509J,1901,0.6,0.102
Lincoln Elementary School,437,Grants Pass SD 7,2054,0.55,0.10300000000000001
Lincoln Elementary School,1267,Woodburn SD 103,2146,0.8170000000000001,0.212
Lincoln Park Elementary School,975,David Douglas SD 40,2187,0.62,0.17300000000000001
Lincoln Street Elementary School,4642,Hillsboro SD 1J,2239,0.79,0.133
Linwood Elementary School,4765,North Clackamas SD 12,1924,0.857,0.133
Llewellyn Elementary School,872,Portland SD 1J,2180,0.20800000000000002,0.07400000000000001
Logos Public Charter School,4821,Medford SD 549C,2048,0.654,NA
London School,578,South Lane SD 45J3,2087,0.643,0.071
Lone Pine Elementary School,414,Medford SD 549C,2048,0.414,0.086
Lookingglass Elementary School,313,Winston-Dillard SD 116,2002,0.888,0.077
Lowrie Primary School,5056,West Linn-Wilsonville SD 3J,1922,0.41100000000000003,0.20199999999999999
Luckiamute Valley Charter School,3461,Dallas SD 2,2190,0.7140000000000001,0.14300000000000002
Lundy Elementary School,598,Lowell SD 71,2092,0.727,0.14300000000000002
Lyle Elementary School,989,Dallas SD 2,2190,0.684,0.122
M A Lynch Elementary School,259,Redmond SD 2J,1977,0.526,0.125
Mabel Rush Elementary School,1219,Newberg SD 29J,2254,0.32,0.14300000000000002
Madison Elementary School,196,Coos Bay SD 9,1965,0.625,0.256
Madras Elementary School,430,Jefferson County SD 509J,2053,0.64,0.161
Madrona Elementary School,450,Three Rivers/Josephine County SD,2055,0.428,0.077
Madrone Trail Public Charter School,4593,Medford SD 549C,2048,0.75,0.273
Malabon Elementary School,586,Bethel SD 52,2088,0.7040000000000001,0.075
